indicator_id,indicator_name,display_name,building_block_id,weight_in_block,covers_problems,input_derived_fields,has_internal_gate,gate_condition,gate_action,is_critical_path,justification,threshold_summary,v2_1_q_lock_note
L3I_BASE_001,coverage_score,Flight Coverage & Buffer,BB_BASE_COMPLETE,0.35,#6,base_flight_coverage_ratio;pre_flight_buffer_sec;post_flight_buffer_sec,TRUE,base_flight_coverage_ratio < 1.0,Sets completeness block = 0. FLAG: BASE_RINEX_FLIGHT_GAP.,True,SHEET,Coverage=1.0 & pre≥120s & post≥60s →100; coverage=1.0 & pre≥60s →88; coverage=1.0 & pre<60s →72; coverage<1.0 →0+gate.,
L3I_BASE_002,integrity_score,Session & Power Integrity,BB_BASE_COMPLETE,0.3,"#8,#17",session_integrity_ok;raw_log_download_confirmed,FALSE,,,False,SHEET+OPLOG,"completed_normally & 0 shutdowns & battery ok →100; shutdown≥1 →20 (BASE_SESSION_INTERRUPTED); Operation Log absent/null → unconfirmed (≈60), never silent pass; download not confirmed → advisory flag.","Q3: session_interrupted band stays critical for v2.1 (safe default). v2 enhancement to check timestamp overlap with flight window pending — when implemented, will conditionally downgrade to material if shutdown is outside flight window."
L3I_BASE_003,format_score,RINEX Format & Compatibility,BB_BASE_COMPLETE,0.2,"#10,#16,#19",rinex_version_supported;header_completeness;dual_freq_available;constellation_count,FALSE,,,False,SHEET,version supported & header complete & dual-freq →100; single-freq →70; version unsupported →35 (BASE_RINEX_VERSION_UNSUPPORTED); header incomplete →40.,
L3I_BASE_004,continuity_score,Recording Continuity,BB_BASE_COMPLETE,0.15,#7,cycle_slip_count;gap_gt_5s_count;any_gap_gt_60s,FALSE,,,False,RINEX,no gaps & low slips →100; minor gaps →75; any_gap_gt_60s →40; feeds disturbance_signature composite.,
L3I_BASE_005,antenna_height_documented_score,Antenna Height Documentation,BB_BASE_SETUP,0.55,#1,antenna_measurement_type;measured_to_reference;height_measured_count;antenna_height_agreement,TRUE,antenna_height_m absent,Sets base_station_score = 0 (HARD GATE — Q1 lock v2.1). FLAG: ANTENNA_HEIGHT_MISSING.,True,SHEET,vertical + reference=ARP + ≥3 measurements + RINEX agreement →100; single vertical →88; slant →72; height entered but conflicts with RINEX delta-H →55 (review); no height →0+gate.,
L3I_BASE_006,setup_verification_score,Setup Verification,BB_BASE_SETUP,0.3,#2,over_known_mark;monument_id;verified_by_second_person,FALSE,,,False,SHEET,"over known mark & verified by 2nd person →100; known mark only →80; unverified reused mark →50 (BASE_BENCHMARK_UNVERIFIED, non-scoring warn + LE handoff).",
L3I_BASE_007,antenna_type_match_score,Antenna Type Consistency,BB_BASE_SETUP,0.15,#21,antenna_type_match,FALSE,,,False,SHEET,form model matches RINEX type →100; mismatch →40 (type inconsistent; NOT a true ANTEX calibration check — that is Stage 2).,
L3I_BASE_008,multipath_score,Multipath Environment,BB_BASE_ENV,0.45,#14,multipath_risk_level;cn0_mean_dbhz,FALSE,,,False,SHEET,"low C/N0 variance →100; moderate →65; high variance →35 (BASE_MULTIPATH_RISK). Risk proxy, not error magnitude.",
L3I_BASE_009,ionospheric_risk_score,Ionospheric Risk,BB_BASE_ENV,0.2,#20,kp_index;dual_freq_available,FALSE,,,False,SHEET,Kp low OR dual-freq →100; Kp high & single-freq →40 (BASE_IONO_RISK). External NOAA SWPC dependency; not yet built.,
L3I_BASE_010,pdop_score,Sky Geometry (PDOP),BB_BASE_ENV,0.2,(general quality),mean_pdop;max_pdop,FALSE,,,False,RINEX,mean PDOP <2 →100; 2–4 →80; 4–6 →55; >6 →30. General geometry hygiene; no enumerated problem.,
L3I_BASE_011,acquisition_score,Satellite Acquisition,BB_BASE_ENV,0.15,(general quality),base_acquisition_time_sec,FALSE,,,False,RINEX,fast acquisition (<60s) →100; 60–180s →80; 180–300s →55; >300s →30 (SLOW_BASE_ACQUISITION). General hygiene.,
