indicator_id,indicator_name,display_name,building_block_id,weight_in_block,meaning,input_derived_field_ids,has_internal_gate,gate_condition,gate_action,gate_scope,is_critical_path,null_band_supported,v2_1_q_lock_note
L3I_IMG_001,image_validity_score,Image Validity,BB_IMG_CAPTURE,0.34,What fraction of captured images are usable? Corrupted images remove coverage — below 30 triggers the critical drone gate.,L2D_IMG_001,True,image_validity_score < 30,Sets image_capture_score = 0 (no recoverable survey data). Raises FLAG: CRITICAL_IMAGE_FAILURE.,chain_level,True,,Q-DRONE-2: existing hard gate (image_validity < 30). Confirmed chain-level critical-path.
L3I_IMG_002,image_geotag_score,Image Geotagging,BB_IMG_CAPTURE,0.27,What fraction of valid images have GPS coordinates? Images without geotags cannot be used in photogrammetric reconstruction.,L2D_IMG_002,False,,,none,False,,
L3I_IMG_003,image_overlap_score,Actual Image Overlap,BB_IMG_CAPTURE,0.18,"Do the actual image positions prove sufficient overlap exists? Computed from real EXIF positions, independent of any GCS log.",L2D_IMG_004;L2D_IMG_005,False,,,none,False,,
L3I_IMG_004,image_format_score,Image Format Quality,BB_IMG_CAPTURE,0.12,Are images in a format that preserves full radiometric data? DNG and RAW formats preserve full sensor depth.,L2D_IMG_003,False,,,none,False,,
L3I_IMG_005,image_exposure_consistency_score,Exposure Consistency During Session,BB_IMG_CAPTURE,0.09,How stable was camera exposure throughout the entire flight session? High exposure variance means radiometric inconsistency.,L2D_IMG_009,False,,,none,False,,
L3I_GNSS_001,rover_coverage_score,Rover RINEX Coverage,BB_ROVER_GNSS,0.3,Did the rover record throughout the entire flight with adequate buffer before and after?,L2D_GNSS_001,True,rover_coverage_score == 0,Sets drone_score = 0 (HARD GATE — Q-DRONE-2 lock v2.1). Raises FLAG: RINEX_CRITICAL_GAP. PPK has no rover observations during flight; output is unrecoverable.,chain_level,True,,Q-DRONE-2: promoted to chain-level hard gate. Rover coverage gap during flight makes PPK fundamentally impossible.
L3I_GNSS_002,rover_signal_score,Rover Signal Quality,BB_ROVER_GNSS,0.25,How strong and clean was the satellite signal during the flight? C/N0 below 30dBHz indicates degraded signal.,,False,,,none,False,,
L3I_GNSS_003,rover_frequency_score,Dual Frequency Availability,BB_ROVER_GNSS,0.15,Is dual-frequency GNSS data available? Enables ionospheric correction critical for PPK precision.,L2D_GNSS_002,False,,,none,False,,
L3I_GNSS_004,rover_continuity_score,Recording Continuity,BB_ROVER_GNSS,0.1,Were there any critical recording gaps? A gap over 60 seconds during a short drone flight effectively breaks PPK.,L2D_GNSS_003,True,critical_gap_present == True,HARD RULE: Sets rover_continuity_score = 0. Raises FLAG: RINEX_CRITICAL_GAP.,none,False,,
L3I_GNSS_005,rover_acquisition_score,Satellite Acquisition Speed,BB_ROVER_GNSS,0.1,How quickly did the rover reach stable satellite tracking after recording began?,L2D_GNSS_004,False,,,none,False,,
L3I_GNSS_006,rover_pdop_score,Satellite Geometry During Flight,BB_ROVER_GNSS,0.1,How good was satellite geometry during the actual flight window? PDOP magnifies all measurement errors.,L2D_GNSS_005;L2D_GNSS_006,False,,,none,False,,
L3I_FC_001,mission_coverage_score,Area Coverage,BB_MISSION_EXEC,0.3,What fraction of the planned survey area was actually flown? An unflown area is unflown data.,L2D_FC_010,True,mission_coverage_score == 0,Sets drone_score = 0 (HARD GATE — Q-DRONE-2 lock v2.1). Raises FLAG: COVERAGE_GAP. Mission area not covered; deliverable is fundamentally incomplete.,chain_level,True,,Q-DRONE-2: promoted to chain-level hard gate. Mission coverage gap means survey area is not actually surveyed.
L3I_FC_002,mission_gsd_score,GSD Execution Fidelity,BB_MISSION_EXEC,0.22,How closely did the achieved GSD match what was planned? GSD determines the resolution of the deliverable.,L2D_FC_005,False,,,none,False,,
L3I_FC_003,mission_overlap_score,Overlap Execution Fidelity,BB_MISSION_EXEC,0.22,How closely did achieved overlap match planned overlap? Insufficient overlap creates reconstruction gaps.,L2D_FC_006;L2D_FC_007,False,,,none,False,,
L3I_FC_004,mission_altitude_score,Altitude Execution Fidelity,BB_MISSION_EXEC,0.13,How consistently did the drone maintain the planned altitude?,L2D_FC_008,False,,,none,False,,
L3I_FC_005,wind_condition_score,Wind Conditions,BB_MISSION_EXEC,0.05,Were wind conditions within safe operating limits during the survey?,L2D_FC_011,False,,,none,False,True,"Q-DRONE-4: introduces INDICATOR-LEVEL null pattern. When Open-Meteo API unavailable, indicator returns null + WIND_API_FALLBACK flag. Does NOT score 100 (don't make up data) or 0 (not a failure — just unavailable). Composite scoring at block level treats indicator null as ""not measured."""
L3I_FC_006,mission_altitude_consistency_score,Altitude Consistency During Session,BB_MISSION_EXEC,0.05,How much did altitude fluctuate during the survey cruise lines?,L2D_FC_012,False,,,none,False,,
L3I_FC_007,mission_completion_score,Mission Completion,BB_MISSION_EXEC,0.03,Did the drone complete all planned waypoints?,L2D_FC_009,False,,vibration_score and gimbal_score from FDR are now ACTIVE (BIN supplies them — no longer disabled).,none,False,,
L3I_CAL_001,calibration_source_score,Calibration Source Quality (CAL_CONF),BB_CAL_CONF,0.5,Where did the calibration parameters originate? Physically measured calibration is ground truth.,,False,,Shares logical name with L3I_IMG_007 but uses DIFFERENT thresholds (raises additional flags).,none,False,,
L3I_CAL_002,calibration_match_score,Camera Hardware Match (CAL_CONF),BB_CAL_CONF,0.35,Does the calibration file match the actual camera hardware used in this survey?,L2D_IMG_006;L2D_IMG_007,False,,Shares logical name with L3I_IMG_006 but uses DIFFERENT thresholds. See sheet 05.,none,False,,
L3I_CAL_003,calibration_age_score,Calibration Recency,BB_CAL_CONF,0.15,How recently was this calibration performed or verified?,L2D_IMG_008,False,,,none,False,,
