block_id,indicator_id,weight
BB_IMG_CAPTURE,L3I_IMG_001,0.34
BB_IMG_CAPTURE,L3I_IMG_002,0.27
BB_IMG_CAPTURE,L3I_IMG_003,0.18
BB_IMG_CAPTURE,L3I_IMG_004,0.12
BB_IMG_CAPTURE,L3I_IMG_005,0.09
BB_ROVER_GNSS,L3I_GNSS_001,0.3
BB_ROVER_GNSS,L3I_GNSS_002,0.25
BB_ROVER_GNSS,L3I_GNSS_003,0.15
BB_ROVER_GNSS,L3I_GNSS_004,0.1
BB_ROVER_GNSS,L3I_GNSS_005,0.1
BB_ROVER_GNSS,L3I_GNSS_006,0.1
BB_MISSION_EXEC,L3I_FC_001,0.3
BB_MISSION_EXEC,L3I_FC_002,0.22
BB_MISSION_EXEC,L3I_FC_003,0.22
BB_MISSION_EXEC,L3I_FC_004,0.13
BB_MISSION_EXEC,L3I_FC_005,0.05
BB_MISSION_EXEC,L3I_FC_006,0.05
BB_MISSION_EXEC,L3I_FC_007,0.03
BB_CAL_CONF,L3I_CAL_001,0.5
BB_CAL_CONF,L3I_CAL_002,0.35
BB_CAL_CONF,L3I_CAL_003,0.15
